Year,Survey,Geography,Population,Commuters,Bicycle commuters
2010,ACS5,US,303965272,139255035,716535
2010,ACS5,AL,4712651,2000289,2118
2010,ACS5,AK,691189,334044,3269
2010,ACS5,AZ,6246816,2699943,22435
2010,ACS5,AR,2872684,1230061,1382
2010,ACS5,CA,36637290,16271905,152260
2010,ACS5,CO,4887061,2429357,29036
2010,ACS5,CT,3545837,1726096,4520
2010,ACS5,DE,881278,412021,1521
2010,ACS5,DC,584400,292979,6557
2010,ACS5,FL,18511620,8165401,48401
2010,ACS5,GA,9468815,4241387,8626
2010,ACS5,HI,1333591,658322,5271
2010,ACS5,ID,1526797,685617,8005
2010,ACS5,IL,12745359,5930230,31856
2010,ACS5,IN,6417398,2932461,11396
2010,ACS5,IA,3016267,1520445,7475
2010,ACS5,KS,2809329,1374765,4827
2010,ACS5,KY,4285828,1839402,3880
2010,ACS5,LA,4429940,1914440,6951
2010,ACS5,ME,1327665,641796,3048
2010,ACS5,MD,5696423,2855936,7618
2010,ACS5,MA,6477096,3188619,21415
2010,ACS5,MI,9952687,4255557,17103
2010,ACS5,MN,5241914,2676172,19422
2010,ACS5,MS,2941991,1197141,1889
2010,ACS5,MO,5922314,2752405,6067
2010,ACS5,MT,973739,468315,6251
2010,ACS5,NE,1799125,923456,4256
2010,ACS5,NV,2633331,1235259,6198
2010,ACS5,NH,1313939,677579,1838
2010,ACS5,NJ,8721577,4122554,13438
2010,ACS5,NM,2013122,874958,5731
2010,ACS5,NY,19229752,8815965,40141
2010,ACS5,NC,9271178,4205946,9992
2010,ACS5,ND,659858,350016,2170
2010,ACS5,OH,11512431,5246423,14498
2010,ACS5,OK,3675339,1655524,3775
2010,ACS5,OR,3761925,1720292,35996
2010,ACS5,PA,12612705,5799572,23565
2010,ACS5,RI,1056389,502098,1910
2010,ACS5,SC,4511428,1989319,5387
2010,ACS5,SD,799462,405497,2179
2010,ACS5,TN,6234968,2753584,3643
2010,ACS5,TX,24311891,10961232,25918
2010,ACS5,UT,2657236,1217129,9164
2010,ACS5,VT,624258,320941,2022
2010,ACS5,VA,7841754,3851989,12334
2010,ACS5,WA,6561297,3093824,25435
2010,ACS5,WV,1840802,744023,1124
2010,ACS5,WI,5637947,2812812,20192
2010,ACS5,WY,545579,279937,3030
2010,ACS5,PR,3762322,1105033,2585
2010,ACS1,US,303965272,139255035,716535
2010,ACS1,AL,4712651,2000289,2118
2010,ACS1,AK,691189,334044,3269
2010,ACS1,AZ,6246816,2699943,22435
2010,ACS1,AR,2872684,1230061,1382
2010,ACS1,CA,36637290,16271905,152260
2010,ACS1,CO,4887061,2429357,29036
2010,ACS1,CT,3545837,1726096,4520
2010,ACS1,DE,881278,412021,1521
2010,ACS1,DC,584400,292979,6557
2010,ACS1,FL,18511620,8165401,48401
2010,ACS1,GA,9468815,4241387,8626
2010,ACS1,HI,1333591,658322,5271
2010,ACS1,ID,1526797,685617,8005
2010,ACS1,IL,12745359,5930230,31856
2010,ACS1,IN,6417398,2932461,11396
2010,ACS1,IA,3016267,1520445,7475
2010,ACS1,KS,2809329,1374765,4827
2010,ACS1,KY,4285828,1839402,3880
2010,ACS1,LA,4429940,1914440,6951
2010,ACS1,ME,1327665,641796,3048
2010,ACS1,MD,5696423,2855936,7618
2010,ACS1,MA,6477096,3188619,21415
2010,ACS1,MI,9952687,4255557,17103
2010,ACS1,MN,5241914,2676172,19422
2010,ACS1,MS,2941991,1197141,1889
2010,ACS1,MO,5922314,2752405,6067
2010,ACS1,MT,973739,468315,6251
2010,ACS1,NE,1799125,923456,4256
2010,ACS1,NV,2633331,1235259,6198
2010,ACS1,NH,1313939,677579,1838
2010,ACS1,NJ,8721577,4122554,13438
2010,ACS1,NM,2013122,874958,5731
2010,ACS1,NY,19229752,8815965,40141
2010,ACS1,NC,9271178,4205946,9992
2010,ACS1,ND,659858,350016,2170
2010,ACS1,OH,11512431,5246423,14498
2010,ACS1,OK,3675339,1655524,3775
2010,ACS1,OR,3761925,1720292,35996
2010,ACS1,PA,12612705,5799572,23565
2010,ACS1,RI,1056389,502098,1910
2010,ACS1,SC,4511428,1989319,5387
2010,ACS1,SD,799462,405497,2179
2010,ACS1,TN,6234968,2753584,3643
2010,ACS1,TX,24311891,10961232,25918
2010,ACS1,UT,2657236,1217129,9164
2010,ACS1,VT,624258,320941,2022
2010,ACS1,VA,7841754,3851989,12334
2010,ACS1,WA,6561297,3093824,25435
2010,ACS1,WV,1840802,744023,1124
2010,ACS1,WI,5637947,2812812,20192
2010,ACS1,WY,545579,279937,3030
2010,ACS1,PR,3762322,1105033,2585
2011,ACS5,US,306603772,139488206,744560
2011,ACS5,AL,4747424,1995834,2473
2011,ACS5,AK,700703,339490,3353
2011,ACS5,AZ,6337373,2695734,23895
2011,ACS5,AR,2895928,1229750,1459
2011,ACS5,CA,36969200,16251032,161165
2011,ACS5,CO,4966061,2455116,30647
2011,ACS5,CT,3558172,1728715,4541
2011,ACS5,DE,890856,413958,1425
2011,ACS5,DC,593955,297730,7597
2011,ACS5,FL,18688787,8127157,49217
2011,ACS5,GA,9600612,4239802,8935
2011,ACS5,HI,1346554,658272,5435
2011,ACS5,ID,1549987,687770,8307
2011,ACS5,IL,12790182,5921968,33134
2011,ACS5,IN,6454254,2923957,12316
2011,ACS5,IA,3032266,1524370,7274
2011,ACS5,KS,2830985,1381297,5083
2011,ACS5,KY,4316040,1836432,4206
2011,ACS5,LA,4484596,1939748,7404
2011,ACS5,ME,1328543,639503,3058
2011,ACS5,MD,5736545,2868084,7522
2011,ACS5,MA,6512227,3202521,21938
2011,ACS5,MI,9920621,4201510,18195
2011,ACS5,MN,5278190,2684619,19706
2011,ACS5,MS,2956700,1193495,1520
2011,ACS5,MO,5955802,2751055,6110
2011,ACS5,MT,982854,468895,6138
2011,ACS5,NE,1813061,928606,4260
2011,ACS5,NV,2673396,1230308,5831
2011,ACS5,NH,1315911,678368,1904
2011,ACS5,NJ,8753064,4121378,13081
2011,ACS5,NM,2037136,875392,6097
2011,ACS5,NY,19302448,8837690,42047
2011,ACS5,NC,9418736,4221511,9732
2011,ACS5,ND,666783,356704,2117
2011,ACS5,OH,11525536,5213225,15444
2011,ACS5,OK,3714520,1668821,3914
2011,ACS5,OR,3801991,1713340,37747
2011,ACS5,PA,12660739,5806520,24107
2011,ACS5,RI,1053959,500821,1858
2011,ACS5,SC,4575864,1988734,5608
2011,ACS5,SD,807697,409213,2109
2011,ACS5,TN,6297991,2759886,3808
2011,ACS5,TX,24774187,11144461,27642
2011,ACS5,UT,2715379,1234094,9400
2011,ACS5,VT,624958,319745,2199
2011,ACS5,VA,7926192,3877505,13234
2011,ACS5,WA,6652845,3109613,26310
2011,ACS5,WV,1846372,744031,1056
2011,ACS5,WI,5664893,2806770,20023
2011,ACS5,WY,554697,283656,2979
2011,ACS5,PR,3742586,1091925,2726
2011,ACS1,US,306603772,139488206,744560
2011,ACS1,AL,4747424,1995834,2473
2011,ACS1,AK,700703,339490,3353
2011,ACS1,AZ,6337373,2695734,23895
2011,ACS1,AR,2895928,1229750,1459
2011,ACS1,CA,36969200,16251032,161165
2011,ACS1,CO,4966061,2455116,30647
2011,ACS1,CT,3558172,1728715,4541
2011,ACS1,DE,890856,413958,1425
2011,ACS1,DC,593955,297730,7597
2011,ACS1,FL,18688787,8127157,49217
2011,ACS1,GA,9600612,4239802,8935
2011,ACS1,HI,1346554,658272,5435
2011,ACS1,ID,1549987,687770,8307
2011,ACS1,IL,12790182,5921968,33134
2011,ACS1,IN,6454254,2923957,12316
2011,ACS1,IA,3032266,1524370,7274
2011,ACS1,KS,2830985,1381297,5083
2011,ACS1,KY,4316040,1836432,4206
2011,ACS1,LA,4484596,1939748,7404
2011,ACS1,ME,1328543,639503,3058
2011,ACS1,MD,5736545,2868084,7522
2011,ACS1,MA,6512227,3202521,21938
2011,ACS1,MI,9920621,4201510,18195
2011,ACS1,MN,5278190,2684619,19706
2011,ACS1,MS,2956700,1193495,1520
2011,ACS1,MO,5955802,2751055,6110
2011,ACS1,MT,982854,468895,6138
2011,ACS1,NE,1813061,928606,4260
2011,ACS1,NV,2673396,1230308,5831
2011,ACS1,NH,1315911,678368,1904
2011,ACS1,NJ,8753064,4121378,13081
2011,ACS1,NM,2037136,875392,6097
2011,ACS1,NY,19302448,8837690,42047
2011,ACS1,NC,9418736,4221511,9732
2011,ACS1,ND,666783,356704,2117
2011,ACS1,OH,11525536,5213225,15444
2011,ACS1,OK,3714520,1668821,3914
2011,ACS1,OR,3801991,1713340,37747
2011,ACS1,PA,12660739,5806520,24107
2011,ACS1,RI,1053959,500821,1858
2011,ACS1,SC,4575864,1988734,5608
2011,ACS1,SD,807697,409213,2109
2011,ACS1,TN,6297991,2759886,3808
2011,ACS1,TX,24774187,11144461,27642
2011,ACS1,UT,2715379,1234094,9400
2011,ACS1,VT,624958,319745,2199
2011,ACS1,VA,7926192,3877505,13234
2011,ACS1,WA,6652845,3109613,26310
2011,ACS1,WV,1846372,744031,1056
2011,ACS1,WI,5664893,2806770,20023
2011,ACS1,WY,554697,283656,2979
2011,ACS1,PR,3742586,1091925,2726
2012,ACS5,US,309138711,139893639,785665
2012,ACS5,AL,4777326,1988366,2552
2012,ACS5,AK,711139,345577,3416
2012,ACS5,AZ,6410979,2694999,24687
2012,ACS5,AR,2916372,1232938,1330
2012,ACS5,CA,37325068,16282943,169860
2012,ACS5,CO,5042853,2481269,32578
2012,ACS5,CT,3572213,1730076,4737
2012,ACS5,DE,900131,416699,1284
2012,ACS5,DC,605759,306336,9347
2012,ACS5,FL,18885152,8107476,51997
2012,ACS5,GA,9714569,4234475,9329
2012,ACS5,HI,1362730,665358,6332
2012,ACS5,ID,1567803,687321,8291
2012,ACS5,IL,12823860,5926796,35072
2012,ACS5,IN,6485530,2923571,13637
2012,ACS5,IA,3047646,1529744,7537
2012,ACS5,KS,2851183,1386193,4953
2012,ACS5,KY,4340167,1833778,4078
2012,ACS5,LA,4529605,1960054,8027
2012,ACS5,ME,1329084,637261,3235
2012,ACS5,MD,5785496,2889278,8533
2012,ACS5,MA,6560595,3231819,23261
2012,ACS5,MI,9897264,4171196,19004
2012,ACS5,MN,5313081,2697932,20503
2012,ACS5,MS,2967620,1190185,1429
2012,ACS5,MO,5982413,2747695,6326
2012,ACS5,MT,990785,470377,6515
2012,ACS5,NE,1827306,935599,4691
2012,ACS5,NV,2704204,1223670,5652
2012,ACS5,NH,1317474,679196,1715
2012,ACS5,NJ,8793888,4127735,13924
2012,ACS5,NM,2055287,873552,6154
2012,ACS5,NY,19398125,8877453,44548
2012,ACS5,NC,9544249,4237689,10489
2012,ACS5,ND,676253,363094,2089
2012,ACS5,OH,11533561,5196293,15567
2012,ACS5,OK,3749005,1676739,4027
2012,ACS5,OR,3836628,1705593,39517
2012,ACS5,PA,12699589,5808681,25969
2012,ACS5,RI,1052471,500642,2090
2012,ACS5,SC,4630351,1988444,6020
2012,ACS5,SD,815871,412161,2491
2012,ACS5,TN,6353226,2762765,3896
2012,ACS5,TX,25208897,11314152,29282
2012,ACS5,UT,2766233,1249915,10217
2012,ACS5,VT,625498,319359,2417
2012,ACS5,VA,8014955,3906766,14182
2012,ACS5,WA,6738714,3127950,28304
2012,ACS5,WV,1850481,743046,924
2012,ACS5,WI,5687219,2807856,21098
2012,ACS5,WY,562803,285577,2552
2012,ACS5,PR,3716727,1079211,2652
2012,ACS1,US,309138711,139893639,785665
2012,ACS1,AL,4777326,1988366,2552
2012,ACS1,AK,711139,345577,3416
2012,ACS1,AZ,6410979,2694999,24687
2012,ACS1,AR,2916372,1232938,1330
2012,ACS1,CA,37325068,16282943,169860
2012,ACS1,CO,5042853,2481269,32578
2012,ACS1,CT,3572213,1730076,4737
2012,ACS1,DE,900131,416699,1284
2012,ACS1,DC,605759,306336,9347
2012,ACS1,FL,18885152,8107476,51997
2012,ACS1,GA,9714569,4234475,9329
2012,ACS1,HI,1362730,665358,6332
2012,ACS1,ID,1567803,687321,8291
2012,ACS1,IL,12823860,5926796,35072
2012,ACS1,IN,6485530,2923571,13637
2012,ACS1,IA,3047646,1529744,7537
2012,ACS1,KS,2851183,1386193,4953
2012,ACS1,KY,4340167,1833778,4078
2012,ACS1,LA,4529605,1960054,8027
2012,ACS1,ME,1329084,637261,3235
2012,ACS1,MD,5785496,2889278,8533
2012,ACS1,MA,6560595,3231819,23261
2012,ACS1,MI,9897264,4171196,19004
2012,ACS1,MN,5313081,2697932,20503
2012,ACS1,MS,2967620,1190185,1429
2012,ACS1,MO,5982413,2747695,6326
2012,ACS1,MT,990785,470377,6515
2012,ACS1,NE,1827306,935599,4691
2012,ACS1,NV,2704204,1223670,5652
2012,ACS1,NH,1317474,679196,1715
2012,ACS1,NJ,8793888,4127735,13924
2012,ACS1,NM,2055287,873552,6154
2012,ACS1,NY,19398125,8877453,44548
2012,ACS1,NC,9544249,4237689,10489
2012,ACS1,ND,676253,363094,2089
2012,ACS1,OH,11533561,5196293,15567
2012,ACS1,OK,3749005,1676739,4027
2012,ACS1,OR,3836628,1705593,39517
2012,ACS1,PA,12699589,5808681,25969
2012,ACS1,RI,1052471,500642,2090
2012,ACS1,SC,4630351,1988444,6020
2012,ACS1,SD,815871,412161,2491
2012,ACS1,TN,6353226,2762765,3896
2012,ACS1,TX,25208897,11314152,29282
2012,ACS1,UT,2766233,1249915,10217
2012,ACS1,VT,625498,319359,2417
2012,ACS1,VA,8014955,3906766,14182
2012,ACS1,WA,6738714,3127950,28304
2012,ACS1,WV,1850481,743046,924
2012,ACS1,WI,5687219,2807856,21098
2012,ACS1,WY,562803,285577,2552
2012,ACS1,PR,3716727,1079211,2652
2013,ACS5,US,311536594,139786639,802450
2013,ACS5,AL,4799277,1973623,2357
2013,ACS5,AK,720316,348457,3567
2013,ACS5,AZ,6479703,2684408,25118
2013,ACS5,AR,2933369,1225869,1504
2013,ACS5,CA,37659181,16290887,174748
2013,ACS5,CO,5119329,2494794,32833
2013,ACS5,CT,3583561,1727286,4793
2013,ACS5,DE,908446,416163,1323
2013,ACS5,DC,619371,312875,11047
2013,ACS5,FL,19091156,8094220,53403
2013,ACS5,GA,9810417,4210796,9249
2013,ACS5,HI,1376298,663718,7026
2013,ACS5,ID,1583364,684393,7497
2013,ACS5,IL,12848554,5893225,34630
2013,ACS5,IN,6514861,2911709,14103
2013,ACS5,IA,3062553,1526130,7489
2013,ACS5,KS,2868107,1378025,4912
2013,ACS5,KY,4361333,1832657,4279
2013,ACS5,LA,4567968,1963928,8881
2013,ACS5,ME,1328320,633153,3015
2013,ACS5,MD,5834299,2891357,8709
2013,ACS5,MA,6605058,3239623,24232
2013,ACS5,MI,9886095,4147131,19101
2013,ACS5,MN,5347740,2700121,19843
2013,ACS5,MS,2976872,1179917,1201
2013,ACS5,MO,6007182,2738553,6674
2013,ACS5,MT,998554,469319,6554
2013,ACS5,NE,1841625,937094,4554
2013,ACS5,NV,2730066,1215590,5578
2013,ACS5,NH,1319171,674692,1589
2013,ACS5,NJ,8832406,4107798,14821
2013,ACS5,NM,2069706,868937,6312
2013,ACS5,NY,19487053,8870713,48268
2013,ACS5,NC,9651380,4227986,9970
2013,ACS5,ND,689781,369676,1871
2013,ACS5,OH,11549590,5164077,15355
2013,ACS5,OK,3785742,1673026,4227
2013,ACS5,OR,3868721,1700451,39789
2013,ACS5,PA,12731381,5794492,26659
2013,ACS5,RI,1051695,499689,2282
2013,ACS5,SC,4679602,1994198,6393
2013,ACS5,SD,825198,414301,2370
2013,ACS5,TN,6402387,2757174,3900
2013,ACS5,TX,25639373,11445014,30416
2013,ACS5,UT,2813673,1259283,10619
2013,ACS5,VT,625904,316127,2509
2013,ACS5,VA,8100653,3919771,14590
2013,ACS5,WA,6819579,3126887,27734
2013,ACS5,WV,1853619,738386,813
2013,ACS5,WI,5706871,2792190,21274
2013,ACS5,WY,570134,286750,2469
2013,ACS5,PR,3682966,1057020,2317
2013,ACS1,US,311536594,139786639,802450
2013,ACS1,AL,4799277,1973623,2357
2013,ACS1,AK,720316,348457,3567
2013,ACS1,AZ,6479703,2684408,25118
2013,ACS1,AR,2933369,1225869,1504
2013,ACS1,CA,37659181,16290887,174748
2013,ACS1,CO,5119329,2494794,32833
2013,ACS1,CT,3583561,1727286,4793
2013,ACS1,DE,908446,416163,1323
2013,ACS1,DC,619371,312875,11047
2013,ACS1,FL,19091156,8094220,53403
2013,ACS1,GA,9810417,4210796,9249
2013,ACS1,HI,1376298,663718,7026
2013,ACS1,ID,1583364,684393,7497
2013,ACS1,IL,12848554,5893225,34630
2013,ACS1,IN,6514861,2911709,14103
2013,ACS1,IA,3062553,1526130,7489
2013,ACS1,KS,2868107,1378025,4912
2013,ACS1,KY,4361333,1832657,4279
2013,ACS1,LA,4567968,1963928,8881
2013,ACS1,ME,1328320,633153,3015
2013,ACS1,MD,5834299,2891357,8709
2013,ACS1,MA,6605058,3239623,24232
2013,ACS1,MI,9886095,4147131,19101
2013,ACS1,MN,5347740,2700121,19843
2013,ACS1,MS,2976872,1179917,1201
2013,ACS1,MO,6007182,2738553,6674
2013,ACS1,MT,998554,469319,6554
2013,ACS1,NE,1841625,937094,4554
2013,ACS1,NV,2730066,1215590,5578
2013,ACS1,NH,1319171,674692,1589
2013,ACS1,NJ,8832406,4107798,14821
2013,ACS1,NM,2069706,868937,6312
2013,ACS1,NY,19487053,8870713,48268
2013,ACS1,NC,9651380,4227986,9970
2013,ACS1,ND,689781,369676,1871
2013,ACS1,OH,11549590,5164077,15355
2013,ACS1,OK,3785742,1673026,4227
2013,ACS1,OR,3868721,1700451,39789
2013,ACS1,PA,12731381,5794492,26659
2013,ACS1,RI,1051695,499689,2282
2013,ACS1,SC,4679602,1994198,6393
2013,ACS1,SD,825198,414301,2370
2013,ACS1,TN,6402387,2757174,3900
2013,ACS1,TX,25639373,11445014,30416
2013,ACS1,UT,2813673,1259283,10619
2013,ACS1,VT,625904,316127,2509
2013,ACS1,VA,8100653,3919771,14590
2013,ACS1,WA,6819579,3126887,27734
2013,ACS1,WV,1853619,738386,813
2013,ACS1,WI,5706871,2792190,21274
2013,ACS1,WY,570134,286750,2469
2013,ACS1,PR,3682966,1057020,2317
2014,ACS5,US,314107084,141337148,832750
2014,ACS5,AL,4817678,1983227,2490
2014,ACS5,AK,728300,353493,3658
2014,ACS5,AZ,6561516,2720076,26629
2014,ACS5,AR,2947036,1232572,1653
2014,ACS5,CA,38066920,16529777,182718
2014,ACS5,CO,5197580,2544021,33553
2014,ACS5,CT,3592053,1734798,5264
2014,ACS5,DE,917060,419999,1253
2014,ACS5,DC,633736,323242,12531
2014,ACS5,FL,19361792,8228557,55846
2014,ACS5,GA,9907756,4253203,9695
2014,ACS5,HI,1392704,668457,6994
2014,ACS5,ID,1599464,691425,7158
2014,ACS5,IL,12868747,5928078,35651
2014,ACS5,IN,6542411,2942663,14352
2014,ACS5,IA,3078116,1535285,7833
2014,ACS5,KS,2882946,1383284,4738
2014,ACS5,KY,4383272,1845143,4332
2014,ACS5,LA,4601049,1970623,9211
2014,ACS5,ME,1328535,632757,3164
2014,ACS5,MD,5887776,2913869,8553
2014,ACS5,MA,6657291,3284998,24645
2014,ACS5,MI,9889024,4199791,18880
2014,ACS5,MN,5383661,2733199,20842
2014,ACS5,MS,2984345,1183892,1327
2014,ACS5,MO,6028076,2747017,7017
2014,ACS5,MT,1006370,473349,6119
2014,ACS5,NE,1855617,945395,4617
2014,ACS5,NV,2761584,1225882,5844
2014,ACS5,NH,1321069,676708,1547
2014,ACS5,NJ,8874374,4144855,15152
2014,ACS5,NM,2080085,869118,6382
2014,ACS5,NY,19594330,8950165,52298
2014,ACS5,NC,9750405,4280414,10427
2014,ACS5,ND,704925,377678,1801
2014,ACS5,OH,11560380,5199477,16244
2014,ACS5,OK,3818851,1686185,4572
2014,ACS5,OR,3900343,1715236,40643
2014,ACS5,PA,12758729,5826933,26737
2014,ACS5,RI,1053252,501177,2465
2014,ACS5,SC,4727273,2022019,6853
2014,ACS5,SD,834708,420700,2307
2014,ACS5,TN,6451365,2788201,4182
2014,ACS5,TX,26092033,11685902,31871
2014,ACS5,UT,2858111,1282333,10594
2014,ACS5,VT,626358,316919,2478
2014,ACS5,VA,8185131,3964601,15163
2014,ACS5,WA,6899123,3171197,28804
2014,ACS5,WV,1853881,736438,996
2014,ACS5,WI,5724692,2804563,22019
2014,ACS5,WY,575251,288257,2648
2014,ACS5,PR,3638965,1041197,2300
2014,ACS1,US,314107084,141337148,832750
2014,ACS1,AL,4817678,1983227,2490
2014,ACS1,AK,728300,353493,3658
2014,ACS1,AZ,6561516,2720076,26629
2014,ACS1,AR,2947036,1232572,1653
2014,ACS1,CA,38066920,16529777,182718
2014,ACS1,CO,5197580,2544021,33553
2014,ACS1,CT,3592053,1734798,5264
2014,ACS1,DE,917060,419999,1253
2014,ACS1,DC,633736,323242,12531
2014,ACS1,FL,19361792,8228557,55846
2014,ACS1,GA,9907756,4253203,9695
2014,ACS1,HI,1392704,668457,6994
2014,ACS1,ID,1599464,691425,7158
2014,ACS1,IL,12868747,5928078,35651
2014,ACS1,IN,6542411,2942663,14352
2014,ACS1,IA,3078116,1535285,7833
2014,ACS1,KS,2882946,1383284,4738
2014,ACS1,KY,4383272,1845143,4332
2014,ACS1,LA,4601049,1970623,9211
2014,ACS1,ME,1328535,632757,3164
2014,ACS1,MD,5887776,2913869,8553
2014,ACS1,MA,6657291,3284998,24645
2014,ACS1,MI,9889024,4199791,18880
2014,ACS1,MN,5383661,2733199,20842
2014,ACS1,MS,2984345,1183892,1327
2014,ACS1,MO,6028076,2747017,7017
2014,ACS1,MT,1006370,473349,6119
2014,ACS1,NE,1855617,945395,4617
2014,ACS1,NV,2761584,1225882,5844
2014,ACS1,NH,1321069,676708,1547
2014,ACS1,NJ,8874374,4144855,15152
2014,ACS1,NM,2080085,869118,6382
2014,ACS1,NY,19594330,8950165,52298
2014,ACS1,NC,9750405,4280414,10427
2014,ACS1,ND,704925,377678,1801
2014,ACS1,OH,11560380,5199477,16244
2014,ACS1,OK,3818851,1686185,4572
2014,ACS1,OR,3900343,1715236,40643
2014,ACS1,PA,12758729,5826933,26737
2014,ACS1,RI,1053252,501177,2465
2014,ACS1,SC,4727273,2022019,6853
2014,ACS1,SD,834708,420700,2307
2014,ACS1,TN,6451365,2788201,4182
2014,ACS1,TX,26092033,11685902,31871
2014,ACS1,UT,2858111,1282333,10594
2014,ACS1,VT,626358,316919,2478
2014,ACS1,VA,8185131,3964601,15163
2014,ACS1,WA,6899123,3171197,28804
2014,ACS1,WV,1853881,736438,996
2014,ACS1,WI,5724692,2804563,22019
2014,ACS1,WY,575251,288257,2648
2014,ACS1,PR,3638965,1041197,2300
2015,ACS5,US,316515021,143621171,860362
2015,ACS5,AK,733375,356987,3583
2015,ACS5,AL,4830620,1995472,2453
2015,ACS5,AR,2958208,1236999,1847
2015,ACS5,AZ,6641928,2777754,27816
2015,ACS5,CA,38421464,16869052,188736
2015,ACS5,CO,5278906,2606591,34698
2015,ACS5,CT,3593222,1748352,5426
2015,ACS5,DC,647484,335224,13434
2015,ACS5,DE,926454,427787,1313
2015,ACS5,FL,19645772,8432513,57987
2015,ACS5,GA,10006693,4341894,10009
2015,ACS5,HI,1406299,678279,7272
2015,ACS5,IA,3093526,1546601,8133
2015,ACS5,ID,1616547,704276,6831
2015,ACS5,IL,12873761,5983836,37314
2015,ACS5,IN,6568645,2986176,14773
2015,ACS5,KS,2892987,1393853,4584
2015,ACS5,KY,4397353,1864524,4327
2015,ACS5,LA,4625253,1986355,10029
2015,ACS5,MA,6705586,3346749,25680
2015,ACS5,MD,5930538,2942352,9138
2015,ACS5,ME,1329100,635475,2617
2015,ACS5,MI,9900571,4279616,19582
2015,ACS5,MN,5419171,2776528,22727
2015,ACS5,MO,6045448,2775023,6722
2015,ACS5,MS,2988081,1189806,1547
2015,ACS5,MT,1014699,478238,6768
2015,ACS5,NC,9845333,4361591,10772
2015,ACS5,ND,721640,385843,1518
2015,ACS5,NE,1869365,956034,4784
2015,ACS5,NH,1324201,682019,1683
2015,ACS5,NJ,8904413,4190538,14214
2015,ACS5,NM,2084117,871117,6536
2015,ACS5,NV,2798636,1251879,5417
2015,ACS5,NY,19673174,9064986,55577
2015,ACS5,OH,11575977,5263292,15903
2015,ACS5,OK,3849733,1705849,4259
2015,ACS5,OR,3939233,1751088,42231
2015,ACS5,PA,12779559,5879935,28274
2015,ACS5,PR,3583073,1026779,2116
2015,ACS5,RI,1053661,507116,2007
2015,ACS5,SC,4777576,2062681,6618
2015,ACS5,SD,843190,425712,2373
2015,ACS5,TN,6499615,2843629,4068
2015,ACS5,TX,26538614,11966019,33176
2015,ACS5,UT,2903379,1319944,11339
2015,ACS5,VA,8256630,4020679,16263
2015,ACS5,VT,626604,318435,2541
2015,ACS5,WA,6985464,3236166,29888
2015,ACS5,WI,5742117,2835551,22049
2015,ACS5,WV,1851420,735009,956
2015,ACS5,WY,579679,289747,2570
2015,ACS1,US,316515021,143621171,860362
2015,ACS1,AK,733375,356987,3583
2015,ACS1,AL,4830620,1995472,2453
2015,ACS1,AR,2958208,1236999,1847
2015,ACS1,AZ,6641928,2777754,27816
2015,ACS1,CA,38421464,16869052,188736
2015,ACS1,CO,5278906,2606591,34698
2015,ACS1,CT,3593222,1748352,5426
2015,ACS1,DC,647484,335224,13434
2015,ACS1,DE,926454,427787,1313
2015,ACS1,FL,19645772,8432513,57987
2015,ACS1,GA,10006693,4341894,10009
2015,ACS1,HI,1406299,678279,7272
2015,ACS1,IA,3093526,1546601,8133
2015,ACS1,ID,1616547,704276,6831
2015,ACS1,IL,12873761,5983836,37314
2015,ACS1,IN,6568645,2986176,14773
2015,ACS1,KS,2892987,1393853,4584
2015,ACS1,KY,4397353,1864524,4327
2015,ACS1,LA,4625253,1986355,10029
2015,ACS1,MA,6705586,3346749,25680
2015,ACS1,MD,5930538,2942352,9138
2015,ACS1,ME,1329100,635475,2617
2015,ACS1,MI,9900571,4279616,19582
2015,ACS1,MN,5419171,2776528,22727
2015,ACS1,MO,6045448,2775023,6722
2015,ACS1,MS,2988081,1189806,1547
2015,ACS1,MT,1014699,478238,6768
2015,ACS1,NC,9845333,4361591,10772
2015,ACS1,ND,721640,385843,1518
2015,ACS1,NE,1869365,956034,4784
2015,ACS1,NH,1324201,682019,1683
2015,ACS1,NJ,8904413,4190538,14214
2015,ACS1,NM,2084117,871117,6536
2015,ACS1,NV,2798636,1251879,5417
2015,ACS1,NY,19673174,9064986,55577
2015,ACS1,OH,11575977,5263292,15903
2015,ACS1,OK,3849733,1705849,4259
2015,ACS1,OR,3939233,1751088,42231
2015,ACS1,PA,12779559,5879935,28274
2015,ACS1,PR,3583073,1026779,2116
2015,ACS1,RI,1053661,507116,2007
2015,ACS1,SC,4777576,2062681,6618
2015,ACS1,SD,843190,425712,2373
2015,ACS1,TN,6499615,2843629,4068
2015,ACS1,TX,26538614,11966019,33176
2015,ACS1,UT,2903379,1319944,11339
2015,ACS1,VA,8256630,4020679,16263
2015,ACS1,VT,626604,318435,2541
2015,ACS1,WA,6985464,3236166,29888
2015,ACS1,WI,5742117,2835551,22049
2015,ACS1,WV,1851420,735009,956
2015,ACS1,WY,579679,289747,2570
